Sales
Gross Sales,"$29,414.99"
Items,"$29,371.97"
Service Charges,$43.02
Returns,-$13.00
Discounts & Comps,"-$7,929.16"
Net Sales,"$21,472.83"
Gift Card Sales,$0.00
Tax,"$1,626.57"
Tip,$158.99
Refunds by Amount,-$14.06
Total,"$23,244.33"

Payments
Total Collected,"$23,244.33"
Cash,$46.14
Card,"$6,507.54"
Other,"$16,525.57"
Gift Card,$0.00
Cash App,$165.08
Fees,-$283.30
Net Total,"$22,961.03"
